"Região","Xi","Yi","Xi * Yi","X²"
"Norte",35.6,12.7,452.12,1267.36
"Nordeste",59,29.4,1734.6,3481
"Sudeste",25.2,8.6,216.72,635.04
"Sul",22.5,8.3,186.75,506.25
"Centro-Oeste",24.41,12.4,302.68,595.85
